"id","name","journal_id:id","account_asset_id:id","account_depreciation_id:id","account_expense_depreciation_id:id","improvement_journal_id:id","impairment_journal_id:id","impairment_account_id:id","impairment_expense_account_id:id","impairment_reversal_account_id:id","method_time","method_number","method_period","method","method_progress_factor","prorata","date_min_prorate","sequence_id:id","asset_cancel_group_ids:id","asset_cancel_group_ids:id"
"kategori_aset_58","Mesin Thermographic Printing","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_59","Mesin Stamp (automatic numbering)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_60","Mesin Pemotong Kertas","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_61","Mesin ATM","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_62","ATM Switching (Software ATM &amp;  EDC)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_63","Printer","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_64","Scanner","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_65","Perlengkapan Gadai","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_66","Papan Whiteboard (termasuk : akrilik, fiber, kaca).","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_68","Pesawat Telepon","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_69","Telepon Seluler","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_70","Alat Perekam Komunikasi Telepon","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_71","PABX/ Perangkat penyambung komunikasi","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_72","Faksimile","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_73","Handy Talky/ Two Way Radio","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_74","Handphone/ Smartphone","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_75","Tablet","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_10","group_pat_validator","group_pat_validator"
"kategori_aset_77","Server","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_78","Storage","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_79","Perangkat Komunikasi/ Jaringan","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_80","Hard Disk","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_81","Memory","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_82","PDU ( Power Distribution Unit )","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_83","Rak Server","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_84","Processor","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_85","PAC ( Precision Air Conditioner )","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_86","UPS ( Termasuk : Baterai Backup )","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_87","Panel Listrik","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_88","Perangkat Pendukung (Kabel, Conector, Fiber Optic, SFP, Alat Ukur LAN, dll)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_89","Consumer Grade Networking Hardware","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_90","Enterprise Grade Networking Hardware","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_91","Enterprise Grade Networking Hardware Component","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_92","Kabel/Adapter Kabel/Konektor Kabel Jaringan","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_93","Alat Tes/Ukur Jaringan","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_94","Perangkat Jaringan Unit Usaha Syariah","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_95","Tower Server","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_96","NAS","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_97","Data Center (DC)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_98","Disaster Recovery Center (DRC)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_11","group_pat_validator","group_pat_validator"
"kategori_aset_100","Desktop Computer","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_12","group_pat_validator","group_pat_validator"
"kategori_aset_101","Laptop","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_12","group_pat_validator","group_pat_validator"
"kategori_aset_102","All-in-one Computer","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_12","group_pat_validator","group_pat_validator"
"kategori_aset_104","Kompor/ Tabung Gas","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_105","Kulkas ","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_106","Dispenser Air","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
"kategori_aset_107","Mesin Cuci","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_13","group_pat_validator","group_pat_validator"
